,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time
2021-01-01,0,1,1.0,1.0,0,0,0,0
2021-02-01,0,1,0.0,1.0,0,0,0,0
2021-03-01,0,1,0.0,1.0,0,0,0,0
2021-04-01,0,1,0.0,1.0,0,0,0,0
2021-05-01,0,1,0.0,1.0,0,0,0,0
2021-06-01,0,1,0.0,1.0,0,0,0,0
2021-07-01,0,1,0.0,1.0,0,0,0,0
2021-08-01,0,1,0.0,1.0,0,0,0,0
2021-09-01,0,1,0.0,1.0,0,0,0,0
2021-10-01,0,1,0.0,1.0,0,0,0,0
2021-11-01,0,1,0.0,1.0,0,0,0,0
2021-12-01,0,1,0.0,1.0,0,0,0,0
2021-01-13,0,1,0.0,1.0,0,0,0,0
2021-01-14,0,1,0.0,1.0,0,0,0,0
2021-01-15,0,1,0.0,1.0,0,0,0,0
2021-01-16,0,1,0.0,1.0,0,0,0,0
2021-01-17,0,1,,,0,0,0,0
2021-01-18,0,1,0.0,1.0,0,0,0,0
2021-01-19,0,1,0.0,1.0,0,0,0,0
2021-01-20,0,1,0.0,0.0,0,0,1,1
2021-01-21,0,1,0.0,0.0,0,0,0,1
2021-01-22,1,2,1.0,1.0,0,0,0,1
2021-01-23,0,2,0.0,1.0,0,0,0,1
2021-01-24,0,2,,,0,0,0,1
2021-01-25,0,2,0.0,1.0,0,0,0,1
2021-01-26,0,2,0.0,1.0,0,0,0,1
2021-01-27,0,2,,,0,0,0,1
2021-01-28,0,2,0.0,1.0,0,0,0,1
2021-01-29,0,2,0.0,1.0,0,0,0,1
2021-01-30,0,2,0.0,1.0,0,0,0,1
2021-01-31,0,2,0.0,1.0,0,0,0,1
2021-01-02,0,2,0.0,1.0,0,0,0,1
2021-02-02,0,2,0.0,1.0,0,0,0,1
2021-03-02,0,2,0.0,0.0,0,0,0,1
2021-04-02,0,2,0.0,1.0,0,0,0,1
2021-05-02,0,2,0.0,1.0,0,0,0,1
2021-06-02,1,3,1.0,2.0,0,0,0,1
2021-07-02,0,3,0.0,1.0,0,0,1,2
2021-08-02,0,3,0.0,1.0,0,0,0,2
2021-09-02,1,4,1.0,2.0,0,0,0,2
2021-10-02,0,4,0.0,2.0,0,0,0,2
2021-11-02,0,4,0.0,2.0,0,0,0,2
2021-12-02,0,4,0.0,2.0,0,0,0,2
2021-02-13,0,4,0.0,2.0,0,0,0,2
2021-02-14,0,4,0.0,2.0,0,0,0,2
2021-02-15,0,4,0.0,2.0,0,0,0,2
2021-02-16,0,4,0.0,2.0,0,0,0,2
2021-02-17,0,4,0.0,2.0,0,0,0,2
2021-02-18,0,4,0.0,2.0,0,0,0,2
2021-02-19,0,4,0.0,2.0,0,0,0,2
2021-02-20,0,4,0.0,2.0,0,0,0,2
2021-02-21,0,4,0.0,2.0,0,0,0,2
2021-02-22,0,4,0.0,2.0,0,0,0,2
2021-02-23,0,4,0.0,2.0,0,0,0,2
2021-02-24,0,4,0.0,2.0,0,0,0,2
2021-02-25,0,4,0.0,2.0,0,0,0,2
2021-02-26,0,4,0.0,2.0,0,0,0,2
2021-02-27,0,4,0.0,2.0,0,0,0,2
2021-02-28,0,4,0.0,2.0,0,0,0,2
2021-01-03,0,4,0.0,2.0,0,0,0,2
2021-02-03,0,4,0.0,2.0,0,0,0,2
2021-03-03,0,4,0.0,2.0,0,0,0,2
2021-04-03,0,4,0.0,2.0,0,0,0,2
2021-05-03,0,4,0.0,2.0,0,0,0,2
2021-06-03,0,4,0.0,2.0,0,0,0,2
2021-07-03,0,4,0.0,2.0,0,0,0,2
